id,title,difficulty,paidOnly,url,focus_tags,done,note
1667,Fix Names in a Table,EASY,False,https://leetcode.com/problems/fix-names-in-a-table/,data-cleaning,,
1668,Maximum Repeating Substring,EASY,False,https://leetcode.com/problems/maximum-repeating-substring/,agg-ranking,,
1672,Richest Customer Wealth,EASY,False,https://leetcode.com/problems/richest-customer-wealth/,tabular-business,,
1677,Product's Worth Over Invoices,EASY,True,https://leetcode.com/problems/products-worth-over-invoices/,tabular-business,,
1683,Invalid Tweets,EASY,False,https://leetcode.com/problems/invalid-tweets/,data-cleaning,,
1684,Count the Number of Consistent Strings,EASY,False,https://leetcode.com/problems/count-the-number-of-consistent-strings/,agg-ranking,,
1688,Count of Matches in Tournament,EASY,False,https://leetcode.com/problems/count-of-matches-in-tournament/,agg-ranking,,
1693,Daily Leads and Partners,EASY,False,https://leetcode.com/problems/daily-leads-and-partners/,time-series,,
1700,Number of Students Unable to Eat Lunch,EASY,False,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,agg-ranking,,
1710,Maximum Units on a Truck,EASY,False,https://leetcode.com/problems/maximum-units-on-a-truck/,agg-ranking,,
1725,Number Of Rectangles That Can Form The Largest Square,EASY,False,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/,agg-ranking,,
1729,Find Followers Count,EASY,False,https://leetcode.com/problems/find-followers-count/,agg-ranking,,
1731,The Number of Employees Which Report to Each Employee,EASY,False,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee/,"agg-ranking,tabular-business",,
1732,Find the Highest Altitude,EASY,False,https://leetcode.com/problems/find-the-highest-altitude/,agg-ranking,,
1741,Find Total Time Spent by Each Employee,EASY,False,https://leetcode.com/problems/find-total-time-spent-by-each-employee/,"agg-ranking,time-series,kpi-metrics,tabular-business",,
1742,Maximum Number of Balls in a Box,EASY,False,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,agg-ranking,,
1748,Sum of Unique Elements,EASY,False,https://leetcode.com/problems/sum-of-unique-elements/,"data-cleaning,agg-ranking",,
1758,Minimum Changes To Make Alternating Binary String,EASY,False,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string/,"agg-ranking,basic-math",,
1773,Count Items Matching a Rule,EASY,False,https://leetcode.com/problems/count-items-matching-a-rule/,agg-ranking,,
1777,Product's Price for Each Store,EASY,True,https://leetcode.com/problems/products-price-for-each-store/,tabular-business,,
1784,Check if Binary String Has at Most One Segment of Ones,EASY,False,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones/,"agg-ranking,basic-math",,
1789,Primary Department for Each Employee,EASY,False,https://leetcode.com/problems/primary-department-for-each-employee/,tabular-business,,
1796,Second Largest Digit in a String,EASY,False,https://leetcode.com/problems/second-largest-digit-in-a-string/,agg-ranking,,
1800,Maximum Ascending Subarray Sum,EASY,False,https://leetcode.com/problems/maximum-ascending-subarray-sum/,agg-ranking,,
1805,Number of Different Integers in a String,EASY,False,https://leetcode.com/problems/number-of-different-integers-in-a-string/,agg-ranking,,
1821,Find Customers With Positive Revenue this Year,EASY,True,https://leetcode.com/problems/find-customers-with-positive-revenue-this-year/,time-series,,
1822,Sign of the Product of an Array,EASY,False,https://leetcode.com/problems/sign-of-the-product-of-an-array/,tabular-business,,
1827,Minimum Operations to Make the Array Increasing,EASY,False,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing/,agg-ranking,,
1837,Sum of Digits in Base K,EASY,False,https://leetcode.com/problems/sum-of-digits-in-base-k/,agg-ranking,,
1844,Replace All Digits with Characters,EASY,False,https://leetcode.com/problems/replace-all-digits-with-characters/,data-cleaning,,
1848,Minimum Distance to the Target Element,EASY,False,https://leetcode.com/problems/minimum-distance-to-the-target-element/,agg-ranking,,
1853,Convert Date Format,EASY,True,https://leetcode.com/problems/convert-date-format/,"data-cleaning,time-series",,
1854,Maximum Population Year,EASY,False,https://leetcode.com/problems/maximum-population-year/,"agg-ranking,time-series",,
1863,Sum of All Subset XOR Totals,EASY,False,https://leetcode.com/problems/sum-of-all-subset-xor-totals/,agg-ranking,,
1873,Calculate Special Bonus,EASY,False,https://leetcode.com/problems/calculate-special-bonus/,kpi-metrics,,
1876,Substrings of Size Three with Distinct Characters,EASY,False,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters/,data-cleaning,,
1909,Remove One Element to Make the Array Strictly Increasing,EASY,False,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/,data-cleaning,,
1913,Maximum Product Difference Between Two Pairs,EASY,False,https://leetcode.com/problems/maximum-product-difference-between-two-pairs/,"agg-ranking,tabular-business",,
1925,Count Square Sum Triples,EASY,False,https://leetcode.com/problems/count-square-sum-triples/,agg-ranking,,
1935,Maximum Number of Words You Can Type,EASY,False,https://leetcode.com/problems/maximum-number-of-words-you-can-type/,agg-ranking,,
1941,Check if All Characters Have Equal Number of Occurrences,EASY,False,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences/,agg-ranking,,
1945,Sum of Digits of String After Convert,EASY,False,https://leetcode.com/problems/sum-of-digits-of-string-after-convert/,agg-ranking,,
1957,Delete Characters to Make Fancy String,EASY,False,https://leetcode.com/problems/delete-characters-to-make-fancy-string/,data-cleaning,,
1965,Employees With Missing Information,EASY,False,https://leetcode.com/problems/employees-with-missing-information/,data-cleaning,,
1967,Number of Strings That Appear as Substrings in Word,EASY,False,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word/,agg-ranking,,
1974,Minimum Time to Type Word Using Special Typewriter,EASY,False,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/,agg-ranking,,
1984,Minimum Difference Between Highest and Lowest of K Scores,EASY,False,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/,agg-ranking,,
